seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
119,vision_encoder.backbone.layer.2.attention.v_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
120,vision_encoder.backbone.layer.2.attention.o_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
121,vision_encoder.backbone.layer.2.norm2,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
122,vision_encoder.backbone.layer.2.mlp.up_proj,GEMM_W8A16,rtl_gemm,overlap,852992,1843264,1843264,852992,,4352,50112,50112,50112,801792,801792,835584,835584,615776256,1088,400896,2359296,1603584,0
123,vision_encoder.backbone.layer.2.mlp.down_proj,GEMM_W8A16,rtl_gemm,overlap,839936,1714192,1714192,839936,,1088,12528,12528,12528,801792,801792,835584,835584,615776256,272,1603584,2359296,400896,0
124,vision_encoder.backbone.layer.3.norm1,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
125,vision_encoder.backbone.layer.3.attention.q_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
126,vision_encoder.backbone.layer.3.attention.k_proj,GEMM_W8A16,rtl_gemm,overlap,213248,448288,448288,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
127,vision_encoder.backbone.layer.3.attention.v_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
128,vision_encoder.backbone.layer.3.attention.o_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
129,vision_encoder.backbone.layer.3.norm2,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
130,vision_encoder.backbone.layer.3.mlp.up_proj,GEMM_W8A16,rtl_gemm,overlap,852992,1843264,1843264,852992,,4352,50112,50112,50112,801792,801792,835584,835584,615776256,1088,400896,2359296,1603584,0
131,vision_encoder.backbone.layer.3.mlp.down_proj,GEMM_W8A16,rtl_gemm,overlap,839936,1714192,1714192,839936,,1088,12528,12528,12528,801792,801792,835584,835584,615776256,272,1603584,2359296,400896,0
132,vision_encoder.backbone.layer.4.norm1,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
133,vision_encoder.backbone.layer.4.attention.q_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
134,vision_encoder.backbone.layer.4.attention.k_proj,GEMM_W8A16,rtl_gemm,overlap,213248,448288,448288,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
